"",""
"Action","Action"
"Add Menu","Add Menu"
"Allow Comments","Allow Comments"
"Allow guest comments","Allow guest comments"
"An error occurred while updating the menu.","An error occurred while updating the menu."
"Approved","Approved"
"Are you sure?","Are you sure?"
"CSV","CSV"
"Change status","Change status"
"Comment can't be empty","Comment can't be empty"
"Comment title can't be empty","Comment title can't be empty"
"Comment was successfully deleted.","Comment was successfully deleted."
"Comment was successfully saved","Comment was successfully saved"
"Comment","Comment"
"Comments","Comments"
"Could not find comment to delete.","Could not find comment to delete."
"Could not find menu to delete.","Could not find menu to delete."
"Created at","Created at"
"Customer profile","Customer profile"
"Delete Menu comment","Delete Menu comment"
"Delete Menu","Delete Menu"
"Delete","Delete"
"Disabled","Disabled"
"Edit Menu '%s'","Edit Menu '%s'"
"Edit Menu comment '%s'","Edit Menu comment '%s'"
"Edit","Edit"
"Enable rss","Enable rss"
"Enabled","Enabled"
"Error saving menu","Error saving menu"
"Excel","Excel"
"Guest comments are not allowed","Guest comments are not allowed"
"Home","Home"
"Id","Id"
"Leave empty for no prefix","Leave empty for no prefix"
"Leave empty to use default URL module/controller/action","Leave empty to use default URL module/controller/action"
"Menu Comment","Menu Comment"
"Menu Comments","Menu Comments"
"Menu Name","Menu Name"
"Menu comment","Menu comment"
"Menu was saved","Menu was saved"
"Menu was successfully deleted.","Menu was successfully deleted."
"Menu was successfully saved","Menu was successfully saved"
"Menu","Menu"
"Meta description for menu list page","Meta description for menu list page"
"Meta information","Meta information"
"Meta keywords for menu list page","Meta keywords for menu list page"
"Meta title for menu list page","Meta title for menu list page"
"Meta","Meta"
"Meta-description","Meta-description"
"Meta-keywords","Meta-keywords"
"Meta-title","Meta-title"
"My Menu Comments","My Menu Comments"
"My Menu comment view","My Menu comment view"
"No","No"
"None","None"
"On %s you wrote:","On %s you wrote:"
"Pending","Pending"
"Please select comments to delete.","Please select comments to delete."
"Please select comments.","Please select comments."
"Please select menu to delete.","Please select menu to delete."
"Please select menu.","Please select menu."
"Poster e-mail","Poster e-mail"
"Poster name","Poster name"
"Rejected","Rejected"
"Relative to Website Base URL","Relative to Website Base URL"
"Reset","Reset"
"Save And Continue Edit","Save And Continue Edit"
"Save Menu comment","Save Menu comment"
"Save Menu","Save Menu"
"Show in rss","Show in rss"
"Status","Status"
"Store views","Store views"
"The URL key cannot consist only of numbers.","The URL key cannot consist only of numbers."
"The URL key contains capital letters or disallowed symbols.","The URL key contains capital letters or disallowed symbols."
"The menu has been deleted.","The menu has been deleted."
"There was a problem saving the comment.","There was a problem saving the comment."
"There was a problem saving the menu.","There was a problem saving the menu."
"There was an error deleting comments.","There was an error deleting comments."
"There was an error deleting menu.","There was an error deleting menu."
"There was an error deleting the comment.","There was an error deleting the comment."
"There was an error updating comments.","There was an error updating comments."
"There was an error updating menu.","There was an error updating menu."
"This comment no longer exists.","This comment no longer exists."
"This menu does not allow comments","This menu does not allow comments"
"This menu no longer exists.","This menu no longer exists."
"Title","Title"
"Total of %d comments were successfully deleted.","Total of %d comments were successfully deleted."
"Total of %d comments were successfully updated.","Total of %d comments were successfully updated."
"Total of %d menu were successfully deleted.","Total of %d menu were successfully deleted."
"Total of %d menu were successfully updated.","Total of %d menu were successfully updated."
"Total of %d record(s) have been deleted.","Total of %d record(s) have been deleted."
"Total of %d record(s) have been updated.","Total of %d record(s) have been updated."
"URL key already exists.","URL key already exists."
"URL key for list page","URL key for list page"
"URL key","URL key"
"URL prefix","URL prefix"
"URL suffix","URL suffix"
"Unable to find comment to save.","Unable to find comment to save."
"Unable to find menu to save.","Unable to find menu to save."
"Unable to post the comment.","Unable to post the comment."
"Updated at","Updated at"
"Use Breadcrumbs","Use Breadcrumbs"
"Use default config","Use default config"
"View Details","View Details"
"WYSIWYG Editor","WYSIWYG Editor"
"What goes after the dot. Leave empty for no suffix.","What goes after the dot. Leave empty for no suffix."
"XML","XML"
"Yes","Yes"
"You have submitted no comments for menu.","You have submitted no comments for menu."
"Your comment has been accepted for moderation.","Your comment has been accepted for moderation."
"Your name can't be empty","Your name can't be empty"